ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq5,710972,+,Streptophyta,NA,Porellales,Lejeuneaceae,Monoclea,Leptolejeunea schiffneri,0.97,0.39,0.19,0.19,0.05,0.04
uniq2,932500,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,Ceiba schottii,1,1,1,1,1,0.5
uniq21,234903,+,Streptophyta,NA,Malvales,Malvaceae,Guazuma,Guazuma ulmifolia,1,1,1,1,1,1
uniq10,457300,+,Streptophyta,NA,Porellales,Lejeuneaceae,Frullania,Chamaecrista kleinii,0.92,0.37,0.21,0.16,0.05,0.03
uniq1,2064996,+,Streptophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.95,0.29,0.21,0.18,0.04,0.03
uniq6,660503,+,Streptophyta,NA,Porellales,Lejeuneaceae,Cheilolejeunea,Cheilolejeunea choachina,0.95,0.42,0.22,0.2,0.04,0.03
uniq17,266524,+,Streptophyta,NA,Fabales,Fabaceae,Coursetia,Coursetia caribaea,1,1,1,1,1,0.94
uniq3,812891,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.97,0.97,0.89,0.45
uniq13,357532,+,Streptophyta,NA,Zingiberales,Zingiberaceae,Papillaria,unknown Riedelia ,0.96,0.33,0.16,0.13,0.05,0.04
uniq8,606446,+,Streptophyta,NA,Porellales,Salviniaceae,Azolla,Azolla caroliniana,0.95,0.36,0.11,0.1,0.1,0.08
uniq4,735176,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,NA,0.97,0.39,0.15,0.14,0.06,0.05
uniq31,167748,+,Streptophyta,NA,Asterales,Asteraceae,Nitella,Nitella gracillima,0.94,0.52,0.1,0.1,0.08,0.04
uniq18,257818,+,Streptophyta,NA,Fabales,Fabaceae,Apoplanesia,Apoplanesia paniculata,1,1,1,1,1,1
uniq23,228656,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella axillaris,0.98,0.35,0.15,0.15,0.15,0.12
uniq49,110543,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,1
uniq7,646267,+,Streptophyta,NA,Fabales,Fabaceae,Pityrocarpa,Pityrocarpa obliqua,1,1,1,1,1,1
uniq25,223201,+,Streptophyta,NA,Malvales,Malvaceae,Guazuma,Guazuma ulmifolia,1,1,1,1,1,1
uniq34,154393,+,Streptophyta,NA,Fabales,Fabaceae,Riccia,NA,0.95,0.4,0.13,0.13,0.05,0.04
uniq38,138440,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,1,0.86,0.2,0.17,0.15,0.15
uniq11,413033,+,Streptophyta,NA,Marchantiales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.99,0.33,0.13,0.1,0.09,0.04
uniq37,150924,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.94,0.32,0.11,0.11,0.11,0.1
uniq32,165328,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Riccia huebeneriana,0.96,0.3,0.12,0.11,0.11,0.05
uniq64,86393,+,Streptophyta,NA,Fabales,Fabaceae,Leucaena,NA,1,1,1,1,0.99,0.89
uniq65,86285,+,Streptophyta,NA,Porellales,Lejeuneaceae,Piper,Piper graeffei,0.9,0.41,0.14,0.12,0.09,0.04
uniq26,209980,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.99,0.46,0.12,0.12,0.12,0.04
uniq19,247619,+,Streptophyta,NA,Solanales,Convolvulaceae,NA,NA,1,0.88,0.88,0.88,0.74,0.74
uniq28,182468,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,0.97
uniq16,292009,+,Streptophyta,NA,Lamiales,Bignoniaceae,Bignonia,Bignonia binata,1,1,1,0.99,0.99,0.99
uniq12,364538,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.98,0.98,0.88,0.54
uniq20,247076,+,Streptophyta,NA,Fabales,Fabaceae,Senegalia,Senegalia catechu,1,1,0.98,0.98,0.58,0.58
uniq61,89884,+,Streptophyta,NA,Marchantiales,Lejeuneaceae,Prototheca,Prototheca blaschkeae,0.94,0.39,0.09,0.07,0.05,0.05
uniq39,128272,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,Nitella gracillima,0.94,0.46,0.1,0.08,0.06,0.04
uniq48,110724,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.94,0.49,0.17,0.17,0.17,0.12
uniq60,90824,+,Streptophyta,NA,Fabales,Fabaceae,Azolla,Azolla caroliniana,0.96,0.52,0.1,0.1,0.09,0.06
uniq42,123032,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.96,0.34,0.12,0.12,0.12,0.09
uniq24,225993,+,Streptophyta,NA,Asparagales,Characeae,Nitella,Azolla caroliniana,1,0.45,0.11,0.09,0.09,0.04
uniq62,89650,+,Streptophyta,NA,Fabales,Lejeuneaceae,Azolla,Azolla caroliniana,0.95,0.42,0.11,0.1,0.06,0.06
uniq36,151378,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,Nitella axillaris,0.97,0.29,0.16,0.14,0.13,0.08
uniq27,188555,+,Streptophyta,NA,Laurales,Fabaceae,Nannochloris,unknown Nannochloris ,0.93,0.58,0.1,0.09,0.05,0.05
uniq15,293206,+,Streptophyta,NA,Lamiales,Characeae,Nitella,Riccia huebeneriana,0.96,0.55,0.16,0.06,0.06,0.04
uniq54,105149,+,Streptophyta,NA,Asparagales,Fabaceae,Azolla,Azolla caroliniana,0.98,0.3,0.11,0.09,0.07,0.07
uniq22,229427,+,Streptophyta,NA,Fabales,Fabaceae,Gliricidia,Gliricidia sepium,1,1,1,1,1,0.87
uniq30,168159,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lejeunea,Lejeunea ramulosa,0.97,0.32,0.22,0.2,0.11,0.03
uniq14,315036,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Croton,NA,1,1,1,1,1,0.61
uniq63,89289,+,Streptophyta,NA,Fabales,Fabaceae,Lysiloma,Lysiloma latisiliquum,1,1,1,1,0.98,0.98
uniq40,126518,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Azolla,Acorus tatarinowii,0.94,0.38,0.12,0.09,0.04,0.04
uniq85,67825,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,Mastigolejeunea virens,0.91,0.49,0.09,0.08,0.08,0.03
uniq91,65036,+,Streptophyta,NA,Jungermanniales,Lejeuneaceae,Azolla,Azolla caroliniana,0.94,0.32,0.1,0.07,0.07,0.06
uniq29,176828,+,Streptophyta,NA,Asterales,Asteraceae,Iostephane,Iostephane madrensis,1,1,0.98,0.98,0.56,0.42
uniq80,70833,+,Streptophyta,NA,Gentianales,Apocynaceae,Ceropegia,Erica glauca,0.91,0.55,0.14,0.14,0.06,0.04
uniq67,85366,+,Streptophyta,NA,Poales,Ricciaceae,Riccia,Riccia huebeneriana,0.95,0.45,0.12,0.08,0.06,0.05
uniq41,126389,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.96,0.3,0.09,0.09,0.09,0.09
uniq57,100758,+,Streptophyta,NA,Fabales,Fabaceae,Quercus,Quercus suber,0.94,0.62,0.12,0.12,0.03,0.02
uniq104,59848,+,Streptophyta,NA,Fabales,Fabaceae,Azolla,Azolla caroliniana,0.96,0.42,0.1,0.1,0.09,0.06
uniq51,109878,+,Streptophyta,NA,Fabales,Fabaceae,Coulteria,NA,1,1,1,1,0.99,0.99
uniq69,83398,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.97,0.43,0.1,0.1,0.07,0.05
uniq53,106410,+,Streptophyta,NA,Porellales,Lejeuneaceae,Begonia,NA,0.89,0.39,0.18,0.15,0.08,0.04
uniq68,83886,+,Streptophyta,NA,Asparagales,Orchidaceae,Nitella,unknown Riccia ,0.96,0.37,0.14,0.12,0.1,0.03
uniq58,97662,+,Streptophyta,NA,Asparagales,Orchidaceae,Riccia,Dumortiera hirsuta,0.99,0.35,0.16,0.13,0.03,0.03
uniq59,90878,+,Streptophyta,NA,Lamiales,Acanthaceae,Ruellia,NA,1,1,1,1,1,0.92
uniq76,74436,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.99,0.45,0.15,0.15,0.15,0.06
uniq88,66179,+,Streptophyta,NA,Malvales,Malvaceae,Triumfetta,Triumfetta lappula,1,0.57,0.57,0.57,0.57,0.55
uniq78,73822,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lepidolejeunea,Lepidolejeunea auriculata,0.95,0.38,0.19,0.19,0.05,0.03
uniq99,63165,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Nitella gracillima,0.97,0.55,0.1,0.09,0.06,0.03
uniq33,160008,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,NA,1,0.62,0.62,0.62,0.62,0.62
uniq82,69036,+,Streptophyta,NA,Jungermanniales,Fabaceae,Euphorbia,NA,0.94,0.44,0.12,0.07,0.04,0.03
uniq52,106969,+,Streptophyta,NA,Asparagales,Orchidaceae,Nitella,Nitella pulchella,0.95,0.4,0.19,0.13,0.1,0.05
uniq43,119345,+,Streptophyta,NA,Fabales,Fabaceae,Iresine,Iresine diffusa,0.99,0.86,0.21,0.21,0.11,0.11
uniq72,81125,+,Streptophyta,NA,Malpighiales,Salicaceae,Casearia,NA,1,0.93,0.9,0.9,0.78,0.78
uniq44,119312,+,Streptophyta,NA,Fabales,Fabaceae,Lysiloma,Lysiloma latisiliquum,1,0.99,0.99,0.99,0.95,0.95
uniq47,110838,+,Streptophyta,NA,Porellales,Lejeuneaceae,Sphagnum,Azolla caroliniana,0.97,0.47,0.13,0.12,0.05,0.03
uniq86,67750,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.96,0.3,0.15,0.15,0.08,0.06
uniq77,74265,+,Streptophyta,NA,Hypnales,Fabaceae,Azolla,Azolla caroliniana,0.92,0.33,0.14,0.1,0.09,0.08
uniq110,58080,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.98,0.98,0.83,0.38
uniq74,80097,+,Streptophyta,NA,Boraginales,Cordiaceae,Cordia,Cordia alliodora,1,1,1,1,1,0.93
uniq71,81640,+,Streptophyta,NA,Porellales,Lejeuneaceae,Leptolejeunea,Azolla caroliniana,0.93,0.44,0.18,0.17,0.06,0.03
uniq73,80295,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.95,0.42,0.15,0.14,0.09,0.08
uniq56,102073,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe occidentalis,1,1,1,1,0.95,0.89
uniq35,152369,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,1
uniq90,65427,+,Streptophyta,NA,Fabales,Fabaceae,Pithecellobium,Pithecellobium excelsum,1,1,1,1,0.78,0.41
uniq87,66387,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.96,0.43,0.12,0.11,0.08,0.08
uniq66,85461,+,Streptophyta,NA,Fagales,Fagaceae,Quercus,NA,1,1,1,1,0.99,0.65
uniq50,110324,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,1,1,0.85,0.5
uniq100,61939,+,Streptophyta,NA,Zingiberales,Zingiberaceae,Azolla,unknown Riedelia ,0.92,0.39,0.13,0.11,0.07,0.04
uniq81,69468,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.95,0.4,0.12,0.12,0.12,0.04
uniq103,60630,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lejeunea,Lejeunea laetevirens,0.93,0.35,0.16,0.15,0.09,0.06
uniq45,118242,+,Streptophyta,NA,Fabales,Fabaceae,Lysiloma,Lysiloma latisiliquum,1,1,1,1,0.98,0.98
uniq46,114687,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,Ipomoea trifida,1,0.87,0.86,0.86,0.86,0.73
uniq94,64611,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.99,0.28,0.19,0.19,0.06,0.06
uniq132,48179,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.9,0.36,0.09,0.09,0.06,0.05
uniq75,79294,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Lepidolejeunea involuta,0.93,0.33,0.21,0.2,0.06,0.04
uniq114,55914,+,Streptophyta,NA,Marchantiales,Polytrichaceae,Riccia,Riccia lamellosa,1,0.48,0.09,0.07,0.07,0.04
uniq108,58238,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Azolla caroliniana,0.96,0.28,0.17,0.14,0.13,0.07
uniq83,68650,+,Streptophyta,NA,Asterales,Asteraceae,Zinnia,NA,1,1,0.99,0.99,0.87,0.57
uniq129,48897,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.94,0.36,0.09,0.08,0.07,0.07
uniq55,103966,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lepidolejeunea,Lepidolejeunea auriculata,0.99,0.5,0.13,0.12,0.07,0.06
uniq96,64235,+,Streptophyta,NA,Fabales,Fabaceae,Vachellia,Vachellia collinsii,1,1,1,1,1,1
uniq95,64603,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Croton,Croton floribundus,1,1,1,1,1,0.77
uniq70,82694,+,Streptophyta,NA,Gentianales,Rubiaceae,Guettarda,Guettarda speciosa,1,1,1,1,0.86,0.39
uniq107,58297,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,unknown Basicladia ,0.96,0.51,0.08,0.08,0.05,0.04
uniq124,49835,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.9,0.38,0.09,0.09,0.09,0.09
uniq109,58208,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,Ipomoea trifida,1,0.86,0.86,0.86,0.86,0.8
uniq93,64612,+,Streptophyta,NA,Fabales,Fabaceae,Pithecellobium,Pithecellobium excelsum,1,1,1,1,0.75,0.38
uniq106,58377,+,Streptophyta,NA,Asparagales,Orchidaceae,Curcuma,NA,0.98,0.37,0.13,0.11,0.04,0.04
uniq102,61150,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,Azolla caroliniana,0.98,0.42,0.07,0.06,0.05,0.04
uniq137,44876,+,Streptophyta,NA,Porellales,Lejeuneaceae,Sphagnum,Azolla caroliniana,0.98,0.36,0.16,0.13,0.07,0.07
uniq140,44125,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,NA,0.96,0.44,0.08,0.08,0.04,0.03
uniq112,57028,+,Streptophyta,NA,Malpighiales,Erythroxylaceae,Erythroxylum,Erythroxylum deciduum,1,0.9,0.7,0.68,0.68,0.36
uniq89,65723,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,NA,1,0.63,0.63,0.63,0.63,0.63
uniq84,68530,+,Streptophyta,NA,Caryophyllales,Polygonaceae,Podopterus,Podopterus mexicanus,1,1,1,1,1,1
uniq118,53063,+,Streptophyta,NA,Asterales,Asteraceae,Nitella,Nitella gracillima,0.96,0.5,0.07,0.06,0.06,0.04
uniq117,54921,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.97,0.33,0.16,0.15,0.1,0.09
uniq138,44563,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.92,0.28,0.22,0.22,0.06,0.06
uniq115,55635,+,Streptophyta,NA,Fabales,Fabaceae,Lonchocarpus,NA,1,1,1,1,1,0.7
uniq131,48389,+,Streptophyta,NA,Porellales,Characeae,Nitella,Nitella gracillima,0.99,0.37,0.13,0.12,0.12,0.06
uniq142,43358,+,Streptophyta,NA,Fabales,Salviniaceae,Azolla,Azolla caroliniana,0.92,0.38,0.11,0.09,0.09,0.07
uniq126,49746,+,Streptophyta,NA,Sapindales,Anacardiaceae,Spondias,Spondias mombin,1,1,0.95,0.8,0.64,0.64
uniq141,44074,+,Streptophyta,NA,Fabales,Fabaceae,Lysiloma,Lysiloma latisiliquum,1,1,0.99,0.99,0.95,0.95
uniq119,52615,+,Streptophyta,NA,Fabales,Fabaceae,Caesalpinia,NA,1,1,1,1,1,1
uniq97,63996,+,Streptophyta,NA,Fabales,Fabaceae,Riccia,Riccia huebeneriana,0.97,0.45,0.12,0.12,0.08,0.07
uniq167,38083,+,Streptophyta,NA,Asparagales,Orchidaceae,Euphorbia,NA,0.88,0.39,0.12,0.11,0.05,0.04
uniq105,58969,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.96,0.39,0.11,0.11,0.11,0.09
uniq166,38208,+,Streptophyta,Liliopsida,Poales,Poaceae,Molinia,Molinia caerulea,1,1,1,1,1,1
uniq135,46644,+,Streptophyta,NA,Asparagales,Amaryllidaceae,Dumortiera,Dumortiera hirsuta,0.98,0.46,0.13,0.08,0.05,0.05
uniq136,44950,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Cordia,unknown Klebsormidium ,0.93,0.53,0.08,0.06,0.04,0.03
uniq101,61157,+,Streptophyta,NA,Gentianales,Rubiaceae,Guettarda,Guettarda nannocarpa,1,1,0.99,0.99,0.83,0.25
uniq130,48573,+,Streptophyta,NA,Malpighiales,Erythroxylaceae,Erythroxylum,Erythroxylum deciduum,1,0.94,0.8,0.8,0.8,0.49
uniq121,50932,+,Streptophyta,NA,Porellales,Characeae,Nitella,Nitella rigida,0.96,0.45,0.09,0.07,0.07,0.04
uniq145,42943,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,Riccia huebeneriana,0.96,0.36,0.11,0.1,0.07,0.04
uniq156,40954,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Vachellia farnesiana,0.95,0.52,0.08,0.08,0.04,0.02
uniq153,41381,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,NA,1,0.65,0.65,0.65,0.65,0.5
uniq147,42782,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Ricciocarpos natans,0.94,0.29,0.13,0.11,0.07,0.04
uniq139,44272,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Pogonatum inflexum,0.95,0.49,0.17,0.17,0.04,0.03
uniq182,35317,+,Streptophyta,NA,Fabales,Fabaceae,Sphagnum,Sphagnum angustifolium,0.96,0.45,0.16,0.16,0.04,0.03
uniq144,42987,+,Streptophyta,NA,Zingiberales,Zingiberaceae,Riedelia,unknown Riedelia ,0.98,0.39,0.17,0.16,0.09,0.09
uniq134,46691,+,Streptophyta,NA,Asparagales,Polytrichaceae,Nitella,Nitella pulchella,0.91,0.35,0.1,0.06,0.06,0.04
uniq123,50301,+,Streptophyta,NA,Malpighiales,Malpighiaceae,Banisteriopsis,Banisteriopsis anisandra,1,0.95,0.46,0.42,0.18,0.13
uniq150,42184,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.97,0.37,0.16,0.15,0.07,0.04
uniq128,49094,+,Streptophyta,NA,Myrtales,Combretaceae,Combretum,Combretum indicum,1,0.97,0.91,0.91,0.71,0.16
uniq176,36130,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lepidolejeunea,Prionolejeunea decora,0.93,0.53,0.14,0.14,0.04,0.03
uniq146,42838,+,Streptophyta,NA,Fabales,Fabaceae,Azolla,unknown Riedelia ,0.99,0.53,0.16,0.16,0.05,0.03
uniq152,41637,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,NA,0.94,0.44,0.12,0.11,0.06,0.03
uniq159,40139,+,Streptophyta,Liliopsida,Porellales,Lejeuneaceae,Lejeunea,unknown Riedelia ,0.92,0.23,0.18,0.14,0.07,0.05
uniq172,36900,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.98,0.38,0.16,0.13,0.05,0.03
uniq161,39444,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Nitella gracillima,0.94,0.37,0.19,0.19,0.1,0.05
uniq178,35904,+,Streptophyta,NA,Charales,Characeae,Nitella,Azolla caroliniana,1,0.39,0.13,0.13,0.13,0.05
uniq202,31807,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Riccia huebeneriana,0.92,0.3,0.12,0.1,0.1,0.04
uniq151,41933,+,Streptophyta,NA,Marchantiales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.91,0.31,0.1,0.1,0.09,0.04
uniq160,39708,+,Streptophyta,NA,Marchantiales,Ricciaceae,Riccia,Riccia huebeneriana,0.99,0.28,0.15,0.15,0.13,0.1
uniq177,36040,+,Streptophyta,NA,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita pepo,1,0.92,0.92,0.92,0.92,0.91
uniq206,31238,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lepidolejeunea,Azolla pinnata,0.99,0.34,0.24,0.23,0.08,0.03
uniq122,50855,+,Streptophyta,NA,Fagales,Fagaceae,Quercus,NA,1,1,1,1,0.99,0.45
uniq143,43330,+,Streptophyta,NA,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera carthagenensis,1,1,1,1,0.98,0.89
uniq165,38255,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,1,1,0.99,0.93,0.61,0.49
uniq184,35070,+,Streptophyta,NA,Asparagales,Salviniaceae,Azolla,Azolla caroliniana,0.92,0.39,0.09,0.09,0.09,0.08
uniq173,36830,+,Streptophyta,NA,Fabales,Fabaceae,Calliandra,Calliandra tergemina,1,1,1,1,1,0.79
uniq230,28119,+,Streptophyta,NA,Porellales,Lejeuneaceae,Isoetes,NA,0.96,0.39,0.11,0.11,0.04,0.03
uniq127,49414,+,Streptophyta,NA,Boraginales,Cordiaceae,Cordia,Cordia dentata,1,1,1,1,1,1
uniq203,31795,+,Streptophyta,NA,Caryophyllales,Solanaceae,Solanum,NA,0.99,0.59,0.09,0.05,0.04,0.02
uniq188,34491,+,Streptophyta,NA,Asparagales,Orchidaceae,Desmodesmus,Ulmus rubra,0.83,0.4,0.19,0.12,0.06,0.04
uniq234,27552,+,Streptophyta,NA,Fabales,Fabaceae,Azolla,Azolla caroliniana,0.97,0.45,0.11,0.11,0.08,0.05
uniq215,30392,+,Streptophyta,Liliopsida,Porellales,Lejeuneaceae,Riedelia,unknown Riedelia ,0.95,0.29,0.15,0.13,0.06,0.06
uniq218,29998,+,Streptophyta,NA,Porellales,Lejeuneaceae,Trichosanthes,Cyclolejeunea peruviana,0.9,0.39,0.11,0.1,0.04,0.04
uniq189,34241,+,Streptophyta,NA,Malvales,Malvaceae,Guazuma,Guazuma ulmifolia,1,1,1,1,1,1
uniq133,47415,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,Ipomoea trifida,1,0.82,0.82,0.82,0.82,0.72
uniq213,30555,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.94,0.29,0.15,0.14,0.05,0.04
uniq204,31613,+,Streptophyta,NA,Asparagales,Orchidaceae,Allium,Castanopsis fargesii,0.87,0.5,0.19,0.12,0.06,0.04
uniq198,32753,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella pulchella,0.93,0.37,0.14,0.14,0.14,0.11
uniq157,40709,+,Streptophyta,NA,Malvales,Malvaceae,Bastardia,Bastardia bivalvis,1,1,0.99,0.99,0.97,0.97
uniq192,33264,+,Streptophyta,NA,Fabales,Fabaceae,Diospyros,NA,0.95,0.39,0.07,0.07,0.04,0.03
uniq154,41194,+,Streptophyta,NA,Myrtales,Combretaceae,Combretum,Combretum alfredii,1,0.98,0.93,0.93,0.47,0.15
uniq197,32791,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,1,1,1,1
uniq155,40994,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea temascaltepecensis,1,0.92,0.71,0.71,0.71,0.71
uniq158,40402,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.96,0.42,0.1,0.1,0.1,0.09
uniq196,32827,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.98,0.35,0.13,0.11,0.09,0.04
uniq125,49772,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Iresine,Iresine diffusa,1,0.98,0.96,0.37,0.35,0.35
uniq175,36430,+,Streptophyta,NA,Boraginales,Ehretiaceae,Bourreria,Bourreria succulenta,1,0.99,0.93,0.92,0.92,0.32
uniq186,34808,+,Streptophyta,Liliopsida,Asparagales,Orchidaceae,Frullania,Thladiantha hookeri,0.95,0.32,0.18,0.12,0.05,0.04
uniq163,38685,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea bracteata,1,1,1,1,1,1
uniq174,36741,+,Streptophyta,NA,Fabales,Fabaceae,Gynochthodes,Azolla caroliniana,0.99,0.48,0.17,0.17,0.06,0.03
uniq194,32918,+,Streptophyta,NA,Hypnales,Brachytheciaceae,Nitella,NA,0.97,0.36,0.08,0.06,0.05,0.04
uniq162,39120,+,Streptophyta,NA,Fabales,Fabaceae,Lysiloma,Lysiloma latisiliquum,1,1,1,1,0.91,0.9
uniq193,33122,+,Streptophyta,NA,Cucurbitales,Cucurbitaceae,Echinopepon,Echinopepon paniculatus,1,1,1,1,0.99,0.99
uniq149,42489,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea temascaltepecensis,1,0.86,0.55,0.55,0.55,0.55
uniq191,33276,+,Streptophyta,NA,Laurales,Lauraceae,Damburneya,Damburneya coriacea,1,0.98,0.98,0.98,0.68,0.65
uniq199,32746,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.93,0.34,0.13,0.13,0.07,0.07
uniq228,28566,+,Streptophyta,NA,Charales,Characeae,Nitella,Distichophyllum spathulatum,0.94,0.38,0.11,0.11,0.11,0.04
uniq169,37633,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Acalypha,Acalypha rhomboidea,1,1,0.98,0.98,0.97,0.91
uniq222,29526,+,Streptophyta,NA,Porellales,Polytrichaceae,Pogonatum,Monoclea gottschei,0.97,0.46,0.11,0.07,0.06,0.03
uniq217,30224,+,Streptophyta,NA,Malpighiales,Erythroxylaceae,Erythroxylum,Erythroxylum deciduum,1,0.91,0.79,0.78,0.78,0.57
uniq214,30393,+,Streptophyta,NA,Asterales,Asteraceae,Tithonia,Tithonia rotundifolia,1,1,1,1,0.95,0.6
uniq116,55465,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,NA,1,0.55,0.55,0.55,0.55,0.44
uniq207,30938,+,Streptophyta,NA,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita pepo,1,0.75,0.75,0.75,0.75,0.66
uniq201,31985,+,Streptophyta,NA,Myrtales,Onagraceae,Lopezia,Lopezia racemosa,1,1,1,1,1,0.98
uniq195,32851,+,Streptophyta,NA,Sapindales,Sapindaceae,Thouinia,Thouinia paucidentata,1,1,1,1,0.99,0.97
uniq187,34499,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea bracteata,1,0.95,0.95,0.95,0.95,0.83
uniq212,30567,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Riccia huebeneriana,0.89,0.27,0.13,0.12,0.08,0.04
