ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq144225,17,+,Streptophyta,NA,Asparagales,Orchidaceae,Pogonatum,Pogonatum urnigerum,0.96,0.48,0.2,0.18,0.03,0.03
uniq144413,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lejeunea,Schismatoglottis elegans,0.94,0.45,0.11,0.09,0.03,0.02
uniq144498,16,+,Streptophyta,NA,Asparagales,Zingiberaceae,Riccia,Riccia huebeneriana,0.9,0.39,0.11,0.08,0.06,0.05
uniq144066,17,+,Streptophyta,NA,Rosales,Urticaceae,Pimelea,NA,0.91,0.58,0.1,0.08,0.08,0.05
uniq143206,17,+,Streptophyta,NA,Caryophyllales,Polygonaceae,Coccoloba,Coccoloba northropiae,1,1,1,1,1,0.25
uniq142385,17,+,Streptophyta,NA,Caryophyllales,Polygonaceae,Coccoloba,Coccoloba northropiae,1,0.99,0.99,0.99,0.97,0.18
uniq143684,17,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,Cenostigma eriostachys,0.93,0.44,0.14,0.13,0.05,0.04
uniq144647,16,+,Streptophyta,NA,Porellales,Salviniaceae,Azolla,Azolla caroliniana,0.98,0.29,0.11,0.09,0.09,0.07
uniq144471,16,+,Streptophyta,NA,Fabales,Fabaceae,Vachellia,Vachellia schaffnerii,1,1,1,1,1,0.6
uniq144560,16,+,Streptophyta,NA,Ericales,Fabaceae,Cornus,Cornus officinalis,0.94,0.64,0.11,0.09,0.07,0.07
uniq143731,17,+,Streptophyta,NA,Bryopsidales,Caulerpaceae,Caulerpa,NA,0.82,0.43,0.14,0.14,0.14,0.04
uniq144515,16,+,Streptophyta,NA,Fabales,Fabaceae,Caesalpinia,NA,1,1,1,1,1,1
uniq144705,16,+,Streptophyta,NA,Lamiales,Fabaceae,Trebouxia,unknown Trebouxia ,0.94,0.73,0.12,0.12,0.05,0.03
uniq143726,17,+,Streptophyta,NA,Asterales,Asteraceae,Melanthera,Melanthera nivea,1,0.98,0.98,0.98,0.42,0.42
uniq144709,16,+,Streptophyta,NA,Caryophyllales,Petiveriaceae,Rivina,Rivina humilis,1,0.94,0.74,0.67,0.67,0.67
uniq144882,16,+,Streptophyta,NA,Caryophyllales,Polygonaceae,Podopterus,Podopterus mexicanus,1,1,1,1,1,1
uniq144303,17,+,Streptophyta,NA,Asterales,Campanulaceae,Lobelia,Lobelia fenestralis,1,1,1,1,1,0.79
uniq144995,16,+,Streptophyta,NA,Saxifragales,Saxifragaceae,Plagiochila,Isoetes australis,0.95,0.54,0.12,0.12,0.09,0.04
uniq144772,16,+,Streptophyta,NA,Cornales,Cornaceae,Cornus,Cornus florida,1,0.96,0.91,0.91,0.91,0.91
uniq144695,16,+,Streptophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,unknown Symbiochloris ,0.61,0.33,0.25,0.25,0.25,0.11
uniq145019,16,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Trebouxia,Zingiber gramineum,0.89,0.39,0.13,0.07,0.05,0.03
uniq144720,16,+,Streptophyta,NA,Ericales,Primulaceae,Myrsine,Myrsine umbellata,1,1,1,1,0.69,0.48
uniq144504,16,+,Streptophyta,NA,Asparagales,Orchidaceae,Trebouxia,unknown Trebouxia ,0.91,0.41,0.15,0.08,0.04,0.03
uniq144516,16,+,Streptophyta,NA,Cornales,Hydrangeaceae,Philadelphus,Philadelphus mexicanus,1,1,1,1,1,1
